a,0.6319,0.9637,0.5000,0.5238
a,0.6268,1.0000,0.5000,0.5690
a,0.5069,0.5226,0.4857,0.3562
a,0.4994,0.5534,0.4742,0.2500
a,0.6360,0.0385,0.4905,0.6054
a,0.4887,0.4304,0.4896,0.1159
a,0.4741,0.4919,0.4737,0.3018
a,0.4929,0.0307,0.4858,0.1480
a,0.4816,0.7329,0.5000,0.4914
a,0.3668,0.1031,0.4747,0.5204
a,0.3932,0.2474,0.4660,0.5236
a,0.3724,0.2474,0.4842,0.5220
a,0.3705,0.2474,0.4769,0.4960
a,0.3699,0.2474,0.4969,0.5282
a,0.4986,1.0000,0.4744,0.7287
a,0.3928,0.3711,0.4804,0.5399
a,0.3901,0.4146,0.4690,0.4854
a,0.4805,1.0000,0.4845,0.7145
a,0.3744,0.1031,0.4828,0.5367
a,0.4988,0.0174,0.5000,0.0835
a,0.4996,0.0174,0.5000,0.0952
a,0.4986,0.0174,0.5000,0.0896
a,0.4980,0.0174,0.5000,0.0816
a,0.4996,0.0174,0.4953,0.0736
a,0.5008,0.0174,0.5000,0.0752
a,0.4984,0.0174,0.5000,0.0871
a,0.4969,0.0174,0.5000,0.0845
a,0.4993,0.0187,0.5000,0.0893
a,0.5165,0.0217,0.5000,0.2186
a,0.5149,0.0272,0.5000,0.1068
a,0.5536,0.0164,0.4826,0.6173
a,0.5040,0.0217,0.4881,0.2714
a,0.1614,0.0116,0.4768,0.7500
a,0.4656,0.0305,0.4655,0.2167
a,0.5739,0.0116,0.4859,0.5728
a,0.4316,0.0214,0.4894,0.1462
a,0.1213,0.0203,0.3509,0.9333
a,0.5006,0.0178,0.3971,0.3657
a,0.5620,0.7252,0.4703,0.8059
a,0.4975,0.9021,0.4783,0.0865
a,0.4877,0.3623,0.4755,0.1234
a,0.5942,0.6139,0.4890,0.6172
a,0.5312,1.0000,0.4985,0.5091
a,0.4855,0.5213,0.4786,0.2548
a,0.4468,0.0223,0.4122,0.2151
a,0.5114,0.0198,0.4846,0.3804
a,0.4561,0.0226,0.4282,0.1071
a,0.4405,1.0000,0.4738,0.3485
a,0.4928,1.0000,0.5000,0.0579
a,0.5040,0.0340,0.5000,0.0605
a,0.4819,0.9906,0.4853,0.0166
a,0.4881,0.9022,0.4805,0.3414
a,0.5057,0.0340,0.5000,0.0388
a,0.5039,1.0000,0.5000,0.0055
